Address,Price,Beds,Baths,Sizes
"1311 Rancho Vista Dr, McKinney, TX 75072","$480,000",3,2,"2,165sqft"
"8218 Dawnwood Dr, San Antonio, TX 78250","$300,000",4,2,"1,923sqft"
"10012 Taylor Renee Dr, Killeen, TX 76542","$265,000",4,2,"1,942sqft"
"114 Horseshoe Bnd, Waxahachie, TX 75165","$339,900",3,2.5,"2,265sqft"
"10323 Barwood Dr, Houston, TX 77043","$540,000",4,2,"2,121sqft"
"521 Buckingham Dr, Canyon Lake, TX 78133","$250,000",3,2,No display data
"3020 Wedgewood Bay Ct, Spring, TX 77386","$300,000",3,2.5,"2,165sqft"
"1212 Old Agnes Rd, Weatherford, TX 76088","$799,000",3,2,"1,728sqft"
"716 E 10th 1/2 St, Houston, TX 77008","$864,900",4,3.5,"3,334sqft"
"3240 Langley Dr, Plano, TX 75025","$825,000",5,4.5,"4,078sqft"
"13838 Shoreline Dr, Willis, TX 77318","$419,000",4,2.5,"2,683sqft"
"6016 Wildflower Way, Little Elm, TX 75068","$450,000",4,2.5,"2,618sqft"
"1051 Toledo Bend Dr, College Station, TX 77845","$300,000",3,2,"1,908sqft"
"1144 Claire St, Lantana, TX 76226","$500,000",4,3,"3,598sqft"
"2056 Johanna Dr Unit G, Houston, TX 77055","$349,900",3,2.5,"1,487sqft"
"5805 Lindell Ave Unit 104, Dallas, TX 75206","$449,900",2,2.5,"1,463sqft"
"2056 Johanna Dr Unit F, Houston, TX 77055","$339,900",3,2.5,"1,487sqft"
"5414A Wheatley St, Houston, TX 77091","$345,000",3,3.5,"1,825sqft"
"5763 Heron Dr, Houston, TX 77033","$190,000",3,1.5,"1,318sqft"
"7822 W Red Oak Ln, Texas City, TX 77591","$184,900",3,2,"1,486sqft"
"23035 N Waterlily Dr, Richmond, TX 77406","$240,000",3,2,"1,605sqft"
"223 Cobb St, Corrigan, TX 75939","$149,900",3,2,"1,104sqft"
"1810 Rosalee St, La Marque, TX 77568","$157,500",3,1,"1,177sqft"
"7732 Highway 37, Clarksville, TX 75426","$269,000",3,2,"1,790sqft"
"2801 Sokol Dr, Corpus Christi, TX 78415","$128,000",2,1,717sqft
"7921 Knob Hill Ave, Pasadena, TX 77505","$486,000",5,3,"3,415sqft"
"8082 County Road 2578, Royse City, TX 75189","$350,000",4,2,"1,715sqft"
"13239 Woodthorn Way, San Antonio, TX 78249","$279,957",3,2,"1,753sqft"
"2615 Elm Crossing Trl, Spring, TX 77386","$280,000",3,2,"1,850sqft"
"1804 Mims St, Fort Worth, TX 76112","$205,000",3,2,"1,612sqft"
"4330 Pebble Beach Dr, Beaumont, TX 77707","$329,000",4,2,"2,772sqft"
"1 Silent Brook Pl, The Woodlands, TX 77381","$395,000",3,2.5,"2,043sqft"
"3500 Tangle Brush Dr Apt 159, The Woodlands, TX 77381","$185,000",2,2,916sqft
"106 Stageline Dr, Kyle, TX 78640","$499,900",4,2,"2,700sqft"
"1005 Kenneth Ln, Burleson, TX 76028","$385,000",3,2,"2,224sqft"
"647 Cypresscliff Dr, San Antonio, TX 78245","$225,000",3,2.5,"1,692sqft"
"15403 Wandering Creek Trl, Houston, TX 77044","$319,786",4,2.5,"2,992sqft"
"3407 Wooded Trl, Baytown, TX 77521","$225,000",4,2,"1,936sqft"
"15443 Blackhawk Blvd, Friendswood, TX 77546","$300,000",4,2,"1,965sqft"
"107 Cliff Heights Cir, Dallas, TX 75241","$250,000",4,2.5,"1,914sqft"
"3 Rolling Glen Ln, Tomball, TX 77375","$949,900",4,3.5,"3,174sqft"
"2216 Denison St, Denton, TX 76201","$275,000",3,2,"1,386sqft"
"5311 Carew St, Houston, TX 77096","$399,900",3,2,"1,861sqft"
"2209 Benito A Ramirez Rd, Edinburg, TX 78542","$459,000",3,2,"1,920sqft"
"9 Inwood Frk, San Antonio, TX 78248","$1,100,000",5,4.5,"4,311sqft"
"7930 Meandering Oak Ln, Cypress, TX 77433","$349,786",5,2.5,"2,920sqft"
"6711 Falcon Crest Ln, Sachse, TX 75048","$415,000",3,2.5,"2,486sqft"
"2929 Julie Ann Dr, Pearland, TX 77584","$255,000",3,2,"1,834sqft"
"4905 Bayberry Dr, Arlington, TX 76017","$290,000",3,2,"1,594sqft"
"105 Road 6613, Dayton, TX 77535","$460,000",4,2,"2,217sqft"
"1020 Ponderosa Rdg, Little Elm, TX 75068","$349,900",4,2,"1,866sqft"
"10538 Vamus Dr, Converse, TX 78109","$252,999",3,2,"1,440sqft"
