Address,Price,Beds,Baths,Sizes
"3724 Atlantic Ave, New York, NY 11224","$2,499,999",10,6.5,"4,000sqft"
"2212 E 7th St, Brooklyn, NY 11223","$2,100,000",6,4,"3,160sqft"
"94-35 224 St, Queens Village, NY 11428","$450,000",2,1,"1,292sqft"
"227-26 88th Ave Unit Upper, Queens Village, NY 11427","$235,000",2,1,No display data
"142-05 Roosevelt Ave Unit 624, Flushing, NY 11354","$535,000",3,2,"1,300sqft"
"151-05 Cross Island Pkwy Unit 1G, Whitestone, NY 11357","$368,000",2,1.5,"1,000sqft"
"11848 154th St, Queens, NY 11434","$499,000",3,2.5,"1,000sqft"
"1091-1095 Olympia Blvd, Staten Island, NY 10306","$725,000",6,4,"2,420sqft"
"9737 110th St, Richmond Hill, NY 11419","$849,000",4,2,"2,320sqft"
"109-40 197 St, Saint Albans, NY 11412","$899,000",4,3,No display data
"156-36 95 St, Howard Beach, NY 11414","$880,000",4,2,No display data
"618-620 Delafield Ave, Staten Island, NY 10310","$1,399,900",12,4.5+,"6,190sqft"
"140 W 22nd St Apt 3F, New York City, NY 10011","$1,750,000",1,2,No display data
"66-17 Saunders St, Rego Park, NY 11374","$849,000",3,2,No display data
"511 Minnieford Ave, Bronx, NY 10464","$1,050,000",4,4,"2,500sqft"
"3-19A 126 St, College Point, NY 11356","$968,000",3,4,No display data
"895 Teller Ave, Bronx, NY 10451","$896,000",4,1,"1,444sqft"
"83-85 116th St Unit 4B, Kew Gardens, NY 11415","$510,000",2,1,900sqft
"61 Oliver St Apt 2D, Brooklyn, NY 11209","$329,000",1,1,700sqft
"2130 Blackrock Ave, Bronx, NY 10472","$750,000",6,2,No display data
"3184 Tiemann Ave, Bronx, NY 10469","$950,000",7,3,"3,100sqft"
"26 E 19th St Apt 2A, New York City, NY 11226","$695,000",2,1.5,674sqft
"88-08 32nd Ave Unit 407, East Elmhurst, NY 11369","$258,000",1,1,750sqft
"650 W End Ave Unit 2E, New York, NY 10025","$525,000",1,1,340sqft
"1 Central Park W Unit 36A, New York City, NY 10023","$9,250,000",3,3.5,"2,094sqft"
"27-28 Humphrey St Unit 1, East Elmhurst, NY 11369","$1,800,000",7,3.5,No display data
"3014 Bronxwood Ave, Bronx, NY 10469","$950,000",6,2,"2,034sqft"
"56 Kingsbridge Ave, Staten Island, NY 10314","$720,800",4,3.5,"1,470sqft"
"35-06 Leavitt St Unit 4H, Flushing, NY 11354","$650,000",2,2,643sqft
"4010 Sea Gate Ave, Brooklyn, NY 11224","$699,000",4,2.5,No display data
"852 E 19th St, Brooklyn, NY 11230","$1,699,000",9,5,"3,500sqft"
"4348 Bedford Ave, Brooklyn, NY 11229","$885,000",3,2.5,"1,958sqft"
"136 E 56th St Apt 10L, New York, NY 10022","$685,000",1,1,800sqft
"31 W 21st St Unit 2B, New York City, NY 10010","$3,295,000",2,2,"1,921sqft"
"530 E 76th St Apt 34E, New York City, NY 10021","$3,750,000",4,4,No display data
"155 W 68th St Apt 24F, New York, NY 10023","$1,895,000",2,2,No display data
"645 E 11th St Unit 1C, New York City, NY 10009","$1,250,000",1,1,695sqft
"1109 Halsey St Unit 2, New York City, NY 11207","$930,000",2,2,"1,030sqft"
"123-55 146th St, Jamaica, NY 11436","$280,000",3,2,"1,264sqft"
"117 Long Pond Ln, Staten Island, NY 10304","$527,900",3,2,"1,506sqft"
"2875 Sedgwick Ave Apt F9, Bronx, NY 10468","$210,000",2,1,900sqft
"160-10 89ave Unit 4G, Jamaica, NY 11432","$169,000",1,1,800sqft
"2059 Homer Ave, Bronx, NY 10473","$520,000",3,2,"1,540sqft"
"82-17 Country Pointe Cir Unit 9, Bellerose, NY 11426","$869,999",4,3.5,No display data
"1035 Trinity Ave, Bronx, NY 10456","$680,000",4,2,"2,466sqft"
"61-25 98th St Unit 14H, Rego Park, NY 11374","$405,000",2,1,No display data
"139-15 83rd Ave Unit 633, Briarwood, NY 11435","$299,000",2,1,No display data
"117-04 202 St, Saint Albans, NY 11412","$599,000",3,1.5+,No display data
"333 W 57th St Apt 7B, New York City, NY 10019","$925,000",1,1,856sqft
"665 Thwaites Ter Unit 1V, Bronx, NY 10467","$200,000",1,1,700sqft
"116-12 146th St, Jamaica, NY 11436","$575,000",3,2,No display data
"8780 160th St, Jamaica, NY 11432","$939,000",7,3.5+,No display data
"153-23 78th St, Howard Beach, NY 11414","$309,000",1,1,No display data
"89 Aultman Ave, Staten Island, NY 10306","$705,000",3,2.5,"2,240sqft"
"1539 Silver St, Bronx, NY 10461","$850,000",5,3.5,"2,666sqft"
"109-27 194th St, Jamaica, NY 11412","$739,000",6,2,No display data
